コード,短縮,内容
"182",一頭気抜,一頭だと気を抜く
"183",ラチ頼る,ラチ頼る
"184",耳絞る,耳絞る
"185",首使い○,首使い○
"186",首使い×,首使い×
"187",砂被○,砂被○
"188",砂被×,砂被×
"189",フット×,フットワーク×
"190",中間角膜,中間角膜炎
"191",中間挫跖,中間挫跖
"192",気性成長,気性成長
"193",拍車,拍車
"194",気性若い,気性若い
"195",フレグモ,フレグモーネ
"196",入線故障,入線後故障
"197",道中気抜,道中気を抜く
"198",直長向き,直線長いコース向き
"199",外被る×,外から被せられる×
"200",トモ悪い,トモの状態悪い
"201",飛越○,飛越○
"202",飛越×,飛越×
"203",水濠○,水濠○
"204",水濠×,水濠×
"205",飛越気遣,飛越に気を遣う
"206",落馬影響,落馬影響
"207",着地○,着地○
"208",着地×,着地×
"209",立回り○,立ち回り○
"210",立回り×,立ち回り×
"211",飛越慎重,飛越慎重
"212",平地力○,平地力○
"213",平地力×,平地力×
"215",スタミ○,スタミナ○
"216",スタミ×,スタミナ×
"217",道悪○,道悪○
"218",道悪×,道悪×
"219",飛越気抜,飛越時気を抜く
"221",障害接触,障害接触
"222",バンケ×,バンケット×
"223",斜飛,斜飛
"224",バンケ○,バンケット○
"225",飛越高い,飛越高い
"226",飛越△,飛越△
"227",飛越安定,飛越安定
"228",着地△,着地△
"229",水トモ落,水濠トモ落
"230",障飛ばず,障害飛ばず
"231",障調再審,障害調教再審査
"232",終ダ×,終ダ×
"233",落馬寸前,落馬寸前
"234",時計掛○,時計掛○
"235",時計掛×,時計掛×
"236",飛越◎,飛越◎
"237",斤量応,斤量応
"238",平地力◎,平地力◎
"239",障調注意,障害調教注意
"240",終いダ○,終いダ○
"241",落後遺残,落馬後遺症残
"242",飛越ブレ,飛越時ブレーキ
"245",直線芝○,直線芝○
"246",直線芝×,直線芝×
"247",落馬再乗,落馬再騎乗
"249",背が低い,背が低い
"250",脚短い,脚短い
"251",連障害○,連続障害○
"252",連障害×,連続障害×
"253",踏切○,踏み切り○
"254",踏切×,踏み切り×
"255",助走○,助走○
"256",助走×,助走×
"257",右斜飛,右斜飛
"258",左斜飛,左斜飛
"301",非力,非力
"302",腰良化,腰良化
"303",トモ良化,トモ良化
"304",高脚使う,高脚使う
"305",平坦向き,平坦向き
"306",遊び走る,遊びながら走る
"307",尻尾振る,尻尾振る
"308",揉弱解消,揉まれ弱い解消
"309",他馬接触,他馬と接触
"310",Ｒ中脚気,レース中脚気にする
"311",揉れ強い,揉まれ強い
"313",ト治療中,トモ治療中
"314",熱発明け,熱発明け
"315",一頭走好,一頭だと走る気出す
"316",口で息,口で息をする
"317",口が硬い,口が硬い
"320",スピ非凡,スピード非凡
"321",脚外振走,脚を外に振って走る
"322",喉弱い,喉弱い
"323",背中良い,背中が良い
"324",Ｒ中故障,レース中故障(入線)
"325",器用,器用
"326",次ハミ○,次走ハミ替え○
"327",今ハミ○,今回ハミ替え○
"328",今ハミ×,今回ハミ替え×
"329",連闘○,連闘○
"330",輸送弱い,輸送弱い
"331",脚元悪い,脚元悪い
"332",使込○,使い込む○
"333",鉄砲×,鉄砲×
"334",中順調欠,中間順調さ欠く
"335",中間放馬,中間放馬
"336",ゲもたれ,ゲートもたれ
"337",ベタ爪,ベタ爪
"338",最内枠×,最内枠×
"339",パド落馬,パドック落馬
"340",夏○,夏○
"341",夏×,夏×
"342",歩様良化,歩様良化
"343",Ｒ中鼻血,(競争中)鼻出血
"344",滞競馬○,滞在競馬○
"345",リズム悪,リズム悪い
"346",皮膚病,皮膚病
"347",馬入暴走,(馬場入場後)暴走
"348",外傷,外傷
"349",Ｔオーバ,タイムオーバー
"350",Ｒ中骨折,レース中骨折
"351",舌ハミ越,舌がハミ越す
"352",ハミ頼る,ハミ頼る
"353",Ｒ前落鉄,レース前落鉄
"354",ハミもた,ハミもたれ
"355",トモ疲れ,トモ疲れ
"356",冬毛咲く,冬毛出てくる
"357",声で気合,声で気合
"358",疲れ気味,疲れ気味
"359",砂ハミ悪,砂被ハミ掛悪い
"360",ブ効果○,ブリ効果あり
"361",脚不安消,脚不安解消
"362",水浮ダ×,水浮ダ×
"363",躓きやす,躓きやすい
"364",札幌向き,札幌向き
"365",函館向き,函館向き
"366",福島向き,福島向き
"367",新潟向き,新潟向き
"368",中京向き,中京向き
"369",阪神向き,阪神向き
"370",京都向き,京都向き
"371",小倉向き,小倉向き
"372",鳴く,鳴く
"373",夏負気味,夏負け気味
"374",タマ,タマ
"375",ツメ悪い,ツメ悪い
"376",多頭数×,多頭数×
"378",鼻効果○,シャド効果あり
"379",馬入転倒,馬場入場後転倒
"380",膠着,膠着
"381",体質強し,体質シッカリ
"382",喉良化,喉良化
"383",芝生飛ぶ,芝切れ目が飛ぶ
"384",渋馬場○,渋馬場○
"385",渋馬場×,渋馬場×
"386",面子効果,メンコ効果あり
"387",不利,不利
"388",アオル,アオル
"389",ブ外効○,ブリ外効果あり
"390",京都×,京都×
"391",距離長,距離長
"392",距離短,距離短
"393",鉄唇横,鉄唇横
"394",瞬発非凡,瞬発力非凡
"395",スピ有り,スピード有
"396",スピ無し,スピード無
"397",集中力○,集中力出る
"398",集中力×,集中力ない
"399",下気する,下を気にする
"400",内側斜行,内側に斜行
"401",外側斜行,外側に斜行
"402",返馬入念,返し馬入念
"403",Ｒ息入る,(道中)息入る
"404",Ｒ息入ず,(道中)息入らず
"405",ハ替２走,ハミ替え２走目
"406",ハ替３走,ハミ替え３走目
"407",今具替○,今回馬具替え○
"408",今具替×,今回馬具替え×
"409",直手前替,直線手前替える
"410",本格化,本格化
"411",ハミ取る,ハミ取る
"412",ハミ取ず,ハミ取らず
"413",躓く,躓く
"414",輸送慣れ,輸送慣れ
"415",大外回る,大外回る
"416",コズミ消,コズミ解消
"417",攻め軽目,攻め軽目
"418",急仕上げ,急仕上げ
"419",掛かる,掛かる
"420",掛り気味,掛かり気味
"421",突っ張る,突っ張る
"422",行たがる,行きたがる
"423",デキ一息,デキ一息
"424",出走停止,出走停止
"425",調教再審,調教再審査
"426",発走再審,発走再審査
"427",発調再審,発走調教再審査
"428",枠駐不良,枠内駐立不良
"429",枠入不良,枠入不良
"430",阪神×,阪神×
"431",腰力つく,腰力つく
"432",連闘×,連闘×
"433",パワー○,パワー○
"434",スタ芝×,スタート芝×
"435",息切れ,息切れ
"436",逆手前,逆手前
"437",気を抜く,気を抜く
"438",二走ボケ,二走ボケ
"439",捌き硬い,捌き硬い
"440",追い通し,追い通し
"441",余力なし,余力なし
"442",良脚長使,いい脚長く使う
"443",落着ほし,落ち着きほしい
"444",落着でる,落ち着きでる
"445",Ｒせず,レースせず
"446",鼻外効○,シャド外効果アリ
"447",トモぶつ,トモぶつける
"448",バラ崩す,バランス崩す
"449",Ｐ速い○,ペース速い○
"450",Ｐ速い×,ペース速い×
"451",Ｐ遅い○,ペース遅い○
"452",Ｐ遅い×,ペース遅い×
"453",モタつく,モタつく
"454",調教注意,調教注意
"455",返馬煩い,返し馬ウルサイ
"456",返できな,返し馬できない
"457",具変２走,馬具変更２走目
"458",中間フレ,中間フレグモーネ
"459",口割る,口割る
"460",ズブイ消,ズブイ解消
"461",減量効○,減量効果あり
"462",良脚少し,いい脚少しだけ
"463",ダ少速○,ダ少し速○
"464",ダ少速×,ダ少し速×
"465",馬込平気,馬込平気
"466",ないら,ないら
"467",蹄良化,蹄良化
"468",フラッ×,フラッシュ×
"469",ひざ外傷,ひざ外傷
"470",スネ外傷,スネ外傷
"471",食い細,食い細
"472",瞬発力△,瞬発力△
"473",加速速い,エンジン掛速
"474",加速遅い,エンジン掛遅
"475",裂蹄次延,裂蹄のため次走延期
"476",ゲ音怖い,ゲート音怖がる
"477",軟ら芝×,軟ら芝×
"478",次良気配,次走良化気配
"479",次一変可,次走一変可
"480",芝大丈夫,芝大丈夫
"481",ダ大丈夫,ダ大丈夫
"482",ゲ潜る,ゲート潜る
"483",連闘ダメ,連闘ダメ
"484",前行く×,前行くとダメ
"485",見せ場×,見せ場なし
"486",後方まま,後方まま
"487",中間熱発,中間熱発
"488",軟ら芝○,軟ら芝○
"489",故障ア食,故障アオリ食
"490",馬込△,馬込△
"491",脚捌き△,フットワーク△
"492",トビ小さ,トビ小さい
"493",挫跖次延,挫跖のため次走延期
"494",熱発次延,熱発のため次走延期
"495",裂蹄放牧,裂蹄のため放牧
"496",輸送食細,輸送食い細
"497",皮色抜る,皮膚色抜ける
"498",馬体緩る,馬体緩める
"499",ブ２走目,ブリンカー２走目
"500",ブ３走目,ブリンカー３走目
"501",感冒,感冒
"502",疝痛,疝痛
"503",角膜炎,角膜炎
"504",右前踏創,右前踏創
"505",左前踏創,左前踏創
"506",右後踏創,右後踏創
"507",左後踏創,左後踏創
"508",両前踏創,両前踏創
"509",両後踏創,両後踏創
"510",右前骨膜,右前管骨々膜炎
"511",左前骨膜,左前管骨々膜炎
"512",右後骨膜,右後管骨々膜炎
"513",左後骨膜,左後管骨々膜炎
"514",両前骨膜,両前管骨々膜炎
"515",両後骨膜,両後管骨々膜炎
"516",右前挫創,右前肢挫創
"517",左前挫創,左前肢挫創
"518",右後挫創,右後肢挫創
"519",左後挫創,左後肢挫創
"520",両前挫創,両前肢挫創
"521",両後挫創,両後肢挫創
"522",右前球節,右前球節炎
"523",左前球節,左前球節炎
"524",右後球節,右後球節炎
"525",左後球節,左後球節炎
"526",両前球節,両前球節炎
"527",両後球節,両後球節炎
"528",右前フレ,右前球節部フレグモー
"529",左前フレ,左前球節部フレグモー
"530",右後フレ,右後球節部フレグモー
"531",左後フレ,左後球節部フレグモー
"532",両前フレ,両前球節部フレグモー
"533",右前フレ,右前肢フレグモーネ
"534",左前フレ,左前肢フレグモーネ
"535",右後フレ,右後肢フレグモーネ
"536",左後フレ,左後肢フレグモーネ
"537",両前フレ,両前肢フレグモーネ
"538",両後フレ,両後肢フレグモーネ
"539",右前屈腱,右前屈腱炎
"540",左前屈腱,左前屈腱炎
"541",両前屈腱,両前屈腱炎
"542",外傷鼻血,外傷性鼻出血
"543",右前挫跖,右前挫跖
"544",左前挫跖,左前挫跖
"545",右後挫跖,右後挫跖
"546",左後挫跖,左後挫跖
"547",両後挫跖,両後挫跖
"548",両前挫跖,両前挫跖
"549",右前裂蹄,右前裂蹄
"550",左前裂蹄,左前裂蹄
"551",右後裂蹄,右後裂蹄
"552",左後裂蹄,左後裂蹄
"553",両前裂蹄,両前裂蹄
"554",両後裂蹄,両後裂蹄
"555",右寛跛行,右寛跛行
"556",左寛跛行,左寛跛行
"557",右肩跛行,右肩跛行
"558",左肩跛行,左肩跛行
"559",右前挫創,右前繋部挫創
"560",左前挫創,左前繋部挫創
"561",右後挫創,右後繋部挫創
"562",左後挫創,左後繋部挫創
"563",両前挫創,両前繋部挫創
"564",両後挫創,両後繋部挫創
"565",右骨々折,右第１骨々折
"572",左指骨折,左第１指骨々折
"573",蕁麻疹,ジンマシン
"575",左繋断裂,左前繋靭帯断裂
"576",左指脱臼,左第１指関節脱臼
"578",左屈打撲,左前屈腱部打撲傷
"579",右屈断裂,右前屈腱断裂
"580",両浅屈断,両前浅屈腱断裂
"581",寛骨々折,寛骨々折
"582",右屈不裂,右前浅屈腱不全断裂
"583",左繋帯炎,左前繋靭帯炎
"584",右肘フレ,右肘部フレグモーネ
"585",右浅屈腱,右前浅屈腱炎
"586",左腕蹴傷,左前腕部蹴傷
"587",右指脱臼,右第１指関節脱臼
"588",キ甲挫創,キ甲部挫創
"589",両腕挫創,両腕接部挫創
"590",頚部打撲,両頚部打撲傷
"591",疲労除外,疲労が著しいため除外
"592",鞍傷,鞍傷
"593",右種骨折,右第1指節種子骨々折
"594",右腰挫創,右腰角部挫創
"595",右繋靭炎,右前繋靭帯炎
"596",両腕挫創,両前腕部挫創
"597",右膝挫創,右膝蓋部挫創
"598",左蹄挫創,左後蹄冠部挫創
"599",左手骨折,左副手根骨々折
"600",両飛挫創,両飛節挫創
"601",寛跛行,寛跛行
"602",便秘疝,便秘疝
"603",右飛節炎,右飛節炎
"604",右眼挫創,右上眼瞼部挫創
"605",腰椎骨折,腰椎骨折
"606",両管挫創,両前管部挫創
"607",左腕挫創,左腕節部挫創
"608",事故除外,事故のため除外
"609",パ鉄打直,パドック蹄鉄打ち直し
"610",左球挫創,左前球節部挫創
"611",右腿骨折,右大腿骨々折
"612",右打撲傷,右前屈腱部打撲傷
"613",左複骨折,左第３中手骨複骨折
"614",右口角節,右口角節
"615",肩跛行,肩跛行
"616",右管挫創,右前管部挫創
"617",左指骨折,左第３指趾骨々折
"618",左前繋炎,左前繋靭帯炎
"619",右飛挫創,右飛節部挫創
"620",左前蹄炎,左前蹄球炎
"621",右腿挫創,右下腿部挫創
"622",左指骨折,左第３指骨骨折
"623",左腰挫創,左腰角部挫創
"624",額部挫創,額部挫創
"625",右足骨折,右第３中足骨々折
"626",左飛挫創,左飛節部挫創
"627",左後繋裂,左後繋靭帯断裂
"628",左管打撲,左後管部打撲傷
"629",右管挫創,右後管部挫創
"630",左腰打撲,左腰部打撲
"631",左飛節炎,左前飛節炎
"632",頚部挫創,頚部挫創
"633",左手骨折,左第３手根骨板状骨折
"634",右腕骨折,右前腕骨々折
"635",右屈腱裂,右前浅屈腱断裂
"636",右角膜炎,創傷性右角膜炎
"637",外鼻出血,外傷性右鼻出血
"638",左腕骨折,左上腕骨々折
"639",左角膜炎,創傷性左角膜炎
"640",右腕挫創,右腕節部挫創
"641",左屈不裂,左前浅屈腱不全断裂
"642",右指骨折,右第３指骨々折
"643",左腕挫創,左前腕部挫創
"644",右前繋裂,右前繋靭帯断裂
"645",蹄冠挫石,蹄冠挫石
"646",右粉骨折,右第１趾骨粉砕骨折
"647",左手骨折,左第３中手骨々折
"648",左足骨折,左第３中足骨々折
"649",左手骨折,左副手根骨複骨折
"650",左遠骨折,左橈骨遠位端骨折
"651",左靭不裂,左前靭帯不全断裂
"652",急心不全,急性心不全
"653",左肩蹴傷,左肩部蹴傷
"654",左後切創,左後球節部切創
"655",胸フレグ,胸部フレグモーネ
"656",右足骨折,右第３中足骨複骨折
"657",両前肢傷,両前肢打撲傷
"658",右アキ脱,右アキレス腱脱位
"659",左下骨折,左下腿骨複骨折
"660",食道梗塞,食道梗塞
"661",右前蹄炎,右前蹄球炎
"662",左腕骨折,左上腕骨々折
"663",左手骨折,左手根骨複骨折
"664",左粉骨折,左第１指骨粉砕骨折
"665",キ甲打撲,キ甲部打撲傷
"666",左膝挫創,左膝蓋部挫創
"667",右開骨折,右第３中足骨開放骨折
"668",右肘腫,右肘腫
"669",四肢挫創,四肢挫創
"670",左開脱臼,左第２指関節開放性脱
"671",左靭不裂,左前繋靭帯不全断裂
"672",背部フレ,背部フレグモーネ
"673",右前挫創,右前球節部挫創
"674",左浅断裂,左前浅屈腱断裂
"675",両後挫創,両後球節部挫創
"676",右腕骨折,右上腕骨々折
"677",右開骨折,右中手骨開放骨折
"678",右脛骨炎,右脛骨々膜炎
"679",左股脱臼,左股関節脱臼
"680",左開骨折,左第３中足骨開放骨折
"681",左複骨折,左第１指骨複骨折
"682",左前骨瘤,左前深管骨瘤
"683",右手骨折,右第３中手骨々折
"684",右後蹴傷,右後肢蹴傷
"685",左腕打撲,左前腕部打撲傷
"686",左結膜炎,左結膜炎
"687",右腕節炎,右腕節炎
"688",右後裂創,右後肢裂創
"689",右膝蹴傷,右膝蓋部蹴傷
"690",頭部打撲,頭部打撲症
"691",左球挫創,左後球節部挫創
"692",左趾骨折,左第１趾骨々折
"693",左種子折,左第１指節種子骨複骨
"694",口内炎,口内炎
"695",鼻部挫創,鼻部挫創
"696",左肋蹴傷,左肋部蹴傷
"697",左管挫創,左前管部挫創
"698",左腰挫創,左腰部挫創
"699",乳房炎,乳房炎
"700",鼻２走目,シャド２走目
"701",鼻３走目,シャド３走目
"702",ブ逆効果,ブリ逆効果
"703",発進不良,発進不良
"704",つかめぬ,つかみどころない
"705",内側逃避,内側に逃避
"706",外側逃避,外側に逃避
"707",脚捌き○,フットワーク○
"708",落馬再乗,落馬再騎乗
"709",ゲ内ト傷,トモ傷める(ゲート内)
"710",障練習効,障害練習効果
"711",空馬影響,空馬影響
"712",馬体検査,馬体検査
"713",今蹄鉄○,今回蹄鉄替○
"714",今蹄鉄×,今回蹄鉄替×
"715",パド放馬,バドック放馬
"716",発進不良,発進不良
"717",ムチ×,ステッキ×
"718",道中外々,道中外々
"719",雨○,雨○
"720",雨×,雨×
"721",スタ芝○,スタート芝○
"722",勝負モタ,勝負所モタつく
"723",適距離,適距離
"724",ゲート練,ゲート練習
"725",障害練習,障害練習
"726",中間鞍傷,中間鞍傷
"727",次ＯＺチ,次走オッズチェック
"728",時計速○,時計速○
"729",時計速×,時計速×
"730",脚使処難,脚使処難
"731",根性なし,根性なし
"732",Ｒ振スム,レース振スムーズ
"733",一本調子,一本調子
"734",完歩小さ,完歩小さい
"735",芝ダＯＫ,芝ダＯＫ
"736",スム欠く,スムーズさ欠
"737",生ズルイ,生ズルイ
"738",絞れれば,絞れれば
"739",水浮ダ○,水浮ダ○
"740",追れる○,追いかけられる○
"741",口出血,口出血
"742",馬装整備,馬装整備
"743",芝ダ切飛,芝ダ切れ目飛ぶ
"744",中間外傷,中間外傷
"745",中間感冒,中間感冒
"746",中間抜歯,中間抜歯
"747",調教不足,調教不足
"748",歯替わり,歯替わり
"749",返馬先入,馬場入り１番早い
"750",P効果○,Pブリンカー効果あり
"751",舌効果○,舌くくり効果あり
"752",N効果○,ノーズバンド効果あり
"753",鼻逆効果,鼻逆効果
"754",舌括出血,舌くくりで出血
"755",ハミ口切,ハミで口切る
"756",馬入鉄打,馬場入り前蹄鉄打ち直
"757",ハミ替え,ハミ替え
"758",馬具変更,馬具変更
"759",ハ替逆効,ハミ替え逆効果
"760",転厩,転厩
"761",厩務員替,厩務員替り
"762",腰疲れ,腰疲れ
"763",口硬い,口硬い
"764",返気乗過,返し馬気合乗りすぎ
"765",口開け走,口開けたまま走る
"766",パド後出,パドック後出し
"767",返馬後出,返し馬後出し
"768",ハミ効ず,ハミ効かず
"769",もたれる,もたれる
"770",頭上げる,頭上げる
"771",B必要,ブリンカー必要
"772",フラフラ,フラフラ
"773",芝切気に,芝切れ目気にする
"774",芝切躓く,芝切れ目躓く
"775",脚部不安,脚部不安
"779",再ゲ気失,再ゲートやる気失う
"780",攻め駆け,攻め駆けする
"781",直追止め,直線追うのやめる
"782",異常歩様,異常歩様
"783",針立直○,針立て直し効果○
"784",ムキ走る,ムキになって走る
"785",仕掛け遅,仕掛け遅れる
"786",手綱切れ,手綱切れる
"787",ゴチャ,ゴチャつく
"789",併せ形○,併せる形○
"790",ハミ敏感,ハミ敏感
"791",トビ綺麗,トビ綺麗
"792",硬馬場○,硬い馬場○
"793",硬馬場×,硬い馬場×
"794",戒告調教,調教注意（戒告）
"795",脚抜ダ○,脚抜きいいダ○
"796",脚抜ダ×,脚抜きいいダ×
"797",乾ダ○,乾いたダ○
"798",乾ダ×,乾いたダ×
"799",中フレグ,中間フレグモーネ
"800",ソエ良化,ソエ良化
"801",馬入再検,馬場入場後再検量
"802",多頭数○,多頭数○
"803",耳立てる,耳立てる
"804",直余力有,直線余力あり
"805",ゲ入り嫌,ゲート入り嫌がる
"806",ヨレる,ヨレる
"807",併せる×,併せる形×
"808",右回り△,右回り△
"809",荒馬場○,荒れ馬場○
"810",荒馬場△,荒れ馬場△
"811",荒馬場×,荒れ馬場×
"812",ハナ拘ず,ハナこだわらず
"813",スタ抜群,スタート抜群
"814",蹄鉄ズレ,蹄鉄ずれる
"815",Ｒ前ボロ,レース直前ボロ
"816",仕掛早い,仕掛け早い
"817",馬場良通,馬場良い所通る
"818",馬場悪通,馬場悪い所通る
"819",展開厳い,展開厳しい
"820",展開恵れ,展開恵まれ
"821",不正駆歩,不正駆歩
"822",濡れダ○,濡れたダ○
"823",返馬落馬,返し馬落馬
"824",暖かく○,暖かくなってくる○
"825",水浮ダ×,水浮くダ×
"826",パド先頭,パドック先頭
"827",返馬スム,返し馬スムーズ
"828",返馬逆へ,返し馬逆方向へ
"829",パ尾振る,パドック尻尾振る
"830",制御乱暴,制御が乱暴
"831",濡れダ×,濡れたダ×
"832",パド立上,パドック立ち上がる
"833",パド舌出,パドック舌出す
"834",返馬気合,返し馬気合つける
"835",返馬元気,返し馬元気
"836",返のびの,返し馬のびのび
"837",返口割る,返し馬口割る
"838",返掛かる,返し馬掛かる
"839",返馬舌越,返し馬舌越す
"840",ハミ気に,ハミ気にする
"841",尻尾短い,尻尾短い
"842",尻っ跳ね,尻っ跳ね
"843",あくび,あくび
"844",馬場入嫌,馬場入り嫌がる
"845",厩務引歩,厩務員に引かれて歩く
"846",Ｐハミ気,パドックハミ気にする
"847",軟ら芝×,軟らかい芝×
"848",背ったる,背ったる
"849",馬入騎乗,馬場入場後騎乗
"850",返馬立上,返し馬立ち上がる
"851",返馬尻跳,返し馬尻っぱね
"852",Ｐ外馬引,パドック外側から馬引
"853",センス◎,レースセンス抜群
"854",蛇行,蛇行
"855",パ文字気,(名パド)文字気にする
"856",厩務員甘,厩務員に甘える
"857",返馬軽目,返し馬軽目
"858",返馬抑え,返し馬抑える
"859",▽▽▽,器官疾患
"860",返馬怒る,返し馬怒る
"861",パ柵蹴る,パドック柵蹴る
"862",機嫌良し,パドック機嫌良し
"863",パ口出血,パドック口出血
"864",返気負う,返し馬気負う
"865",パ耳動す,パドック耳動かす
"866",返やる気,返し馬やる気
"867",返しっか,返し馬しっかり
"868",返バネ,返し馬バネ利いた動き
"869",緩急苦手,緩急苦手
"870",高速場○,高速馬場○
"871",高速場×,高速馬場×
"872",上が速○,上がり速い○
"873",上が速×,上がり速い×
"874",上が掛○,上がり掛かる○
"875",上が掛×,上がり掛かる×
"876",直線挟る,直線挟まる
"877",新潟外向,新潟外回り向き
"878",新潟内向,新潟内回り向き
"879",競走中止,競走中止
"880",完勝,完勝
"881",距離○,距離○
"882",展開不向,展開向かず
"883",追って×,追って案外
"884",４角一杯,４角一杯
"885",出ムチ,出ムチ入る
"886",展開向く,展開向く
"887",二脚速い,二の脚速い
"888",後行く×,後ろから行くとダメ
"889",前行く○,前に行く○
"890",後行く○,後ろから行く○
"901",左粉骨折,左第１趾骨粉砕骨折
"902",右粉骨折,右第１趾骨粉砕骨折
"903",左開骨折,左中手骨開放骨折
"904",右複骨折,右第３中手骨複骨折
"905",右粉骨折,右第１指骨粉砕骨折
"906",左開骨折,左第１指骨開放骨折
"907",右開脱臼,右第３中手骨開放骨折
"908",左開脱臼,左第１指関節開放脱臼
"909",左粉骨折,左下腿骨粉砕骨折
"910",左粉骨折,左第１指節種子骨粉砕
"911",罅裂骨折,右第３中手骨罅裂骨折
"912",左粉骨折,左手根骨粉砕骨折
"913",右開骨折,右第１指骨開放骨折
"914",心不全,心不全
"915",左粉骨折,左第３中手骨粉砕骨折
"916",右開骨折,右下腿骨開放骨折
"917",右開骨折,右中足骨開放骨折
"918",右複骨折,右第１指骨複骨折
"919",右関脱臼,右第１指関節脱臼
"920",右開脱臼,右第１指関節開放性脱
"921",左指骨折,左第３手根骨複骨折
"922",左開脱臼,左第１指関節開放性脱
"923",左開骨折,左第３中手骨開放骨折
"924",右靱断裂,右前種子骨靱帯断裂
"925",両指脱臼,両第１指関節開放性脱
"926",右繋不裂,右前繋靭帯不全断裂
